Ano,rede,etapa,disciplina,descricao_padronizada
2022,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,IDENTIFICAR O TEMA OU O SENTIDO GLOBAL DE UM TEXTO
2016,ESTADUAL,9º ANO EF,MATEMATICA,IDENTIFICAR DADOS APRESENTADOS POR MEIO DE GRAFICOS
2016,ESTADUAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO MULTIPLICACAO OU DIVISAO NA RESOLUCAO DE PROBLEMAS
2022,ESTADUAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS NATURAIS ENVOLVENDO DIFERENTES SIGNIFICADOS DA ADICAO OU DA SUBTRACAO NA RESOLUCAO DE PROBLEMAS
2023,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,INFERIR O SENTIDO DE UMA PALAVRA OU EXPRESSAO EM UM TEXTO
2019,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS NATURAIS ENVOLVENDO DIFERENTES SIGNIFICADOS DA MULTIPLICACAO OU DIVISAO NA RESOLUCAO DE PROBLEMAS
2022,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,IDENTIFICAR O TEMA OU O SENTIDO GLOBAL DE UM TEXTO
2019,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR DADOS APRESENTADOS POR MEIO DE GRAFICOS
2023,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO MULTIPLICACAO OU DIVISAO NA RESOLUCAO DE PROBLEMAS
2024,ESTADUAL,9º ANO EF,MATEMATICA,"EFETUAR CALCULOS QUE ENVOLVAM OPERACOES COM NUMEROS RACIONAIS (ADICAO, SUBTRACAO, MULTIPLICACAO, DIVISAO, POTENCIACAO)."
2019,ESTADUAL,5º ANO EF,MATEMATICA,UTILIZAR PORCENTAGEM NA RESOLUCAO DE PROBLEMA
2022,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,LOCALIZAR INFORMACOES EXPLICITAS EM UM TEXTO
2019,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO DIFERENTES SIGNIFICADOS DA ADICAO EOU SUBTRACAO NA RESOLUCAO DE PROBLEMAS
2022,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,DISTINGUIR UM FATO DE UMA OPINIAO EM UM TEXTO
