Ano,rede,etapa,disciplina,registros,abaixo_mediana
2016,ESTADUAL,5º ANO EF,LINGUA PORTUGUESA,9716,3621
2016,ESTADUAL,5º ANO EF,MATEMATICA,17473,7390
2016,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,13700,6048
2016,ESTADUAL,9º ANO EF,MATEMATICA,24652,9238
2016,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,23215,9980
2016,MUNICIPAL,5º ANO EF,MATEMATICA,41286,18503
2016,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,6053,2520
2016,MUNICIPAL,9º ANO EF,MATEMATICA,10872,3848
2019,ESTADUAL,5º ANO EF,LINGUA PORTUGUESA,8894,3749
2019,ESTADUAL,5º ANO EF,MATEMATICA,16004,8238
2019,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,11675,3405
2019,ESTADUAL,9º ANO EF,MATEMATICA,16338,11551
2019,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,21912,9861
2019,MUNICIPAL,5º ANO EF,MATEMATICA,38984,20001
2019,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,6133,1696
2019,MUNICIPAL,9º ANO EF,MATEMATICA,8587,5986
2021,ESTADUAL,5º ANO EF,LINGUA PORTUGUESA,6479,3405
2021,ESTADUAL,5º ANO EF,MATEMATICA,12915,7926
2021,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,6689,1813
2021,ESTADUAL,9º ANO EF,MATEMATICA,9357,5122
2022,ESTADUAL,5º ANO EF,LINGUA PORTUGUESA,7283,3522
2022,ESTADUAL,5º ANO EF,MATEMATICA,13086,6529
2022,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,11717,3253
2022,ESTADUAL,9º ANO EF,MATEMATICA,16379,11430
2022,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,21104,11500
2022,MUNICIPAL,5º ANO EF,MATEMATICA,37503,19945
2022,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,5833,1415
2022,MUNICIPAL,9º ANO EF,MATEMATICA,8162,5244
2023,ESTADUAL,5º ANO EF,LINGUA PORTUGUESA,6789,2270
2023,ESTADUAL,5º ANO EF,MATEMATICA,13523,6995
2023,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,11715,3674
2023,ESTADUAL,9º ANO EF,MATEMATICA,30392,21096
2023,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,21305,8195
2023,MUNICIPAL,5º ANO EF,MATEMATICA,41784,22698
2023,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,5965,1831
2023,MUNICIPAL,9º ANO EF,MATEMATICA,15430,10284
2024,ESTADUAL,5º ANO EF,LINGUA PORTUGUESA,5294,1112
2024,ESTADUAL,5º ANO EF,MATEMATICA,11605,5488
2024,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,10995,3139
2024,ESTADUAL,9º ANO EF,MATEMATICA,28561,18918
2024,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,14155,3360
2024,MUNICIPAL,5º ANO EF,MATEMATICA,31129,15065
2024,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,4715,1586
2024,MUNICIPAL,9º ANO EF,MATEMATICA,12259,8191
